time,open,high,low,close,Sell,Buy,ATR,RSI
2022-07-01T23:30:00+03:00,19581,19588,19463,19471.5,0,0,19498.87136862666,54.5688211473631
2022-07-01T23:45:00+03:00,19471.5,19560,19400.5,19419,0,0,19494.38831856304,50.82198189200482
2022-07-02T00:00:00+03:00,19419,19513,19419,19503,0,0,19492.865457085645,56.024739325626726
2022-07-02T00:15:00+03:00,19503,19507.5,19413.5,19430,0,0,19491.413950594222,50.977336635368
2022-07-02T00:30:00+03:00,19430,19493,19414.5,19468,0,0,19490.40811884311,53.33418884103711
2022-07-02T00:45:00+03:00,19468,19468.5,19325,19386,0,0,19489.587456826994,47.97426392243121
2022-07-02T01:00:00+03:00,19386,19400,19332.5,19345,0,0,19488.595644254645,45.51146736587613
2022-07-02T01:15:00+03:00,19345,19378.5,19330.5,19362.5,0,0,19487.971058454226,46.767598986417255
2022-07-02T01:30:00+03:00,19362.5,19400,19330.5,19400,0,0,19487.282971694247,49.45649080299522
2022-07-02T01:45:00+03:00,19400,19400,19263,19288,0,0,19486.495249929918,42.54437698514623
2022-07-02T02:00:00+03:00,19288,19355,19275,19350.5,0,0,19491.865460768764,46.996231938695345
2022-07-02T02:15:00+03:00,19350.5,19457,19332,19399.5,0,0,19498.746294731307,50.25081376597932
2022-07-02T02:30:00+03:00,19399.5,19424,19398.5,19407.5,0,0,19504.409281364948,50.78217450550647
2022-07-02T02:45:00+03:00,19407.5,19436,19210,19271,0,0,19505.231012152268,42.45079917684962
2022-07-02T03:00:00+03:00,19271,19347,19190,19335,0,0,19506.773066471094,46.85343359112188
2022-07-02T03:15:00+03:00,19335,19380,19263,19308.5,0,0,19507.756514554694,45.307833253848315
2022-07-02T03:30:00+03:00,19308.5,19333.5,19230,19322,0,0,19508.683083064345,46.28005189333299
2022-07-02T03:45:00+03:00,19322,19329.5,19150,19169,0,0,19509.87109630335,38.02920690433054
2022-07-02T04:00:00+03:00,19169,19230.5,19140,19175,0,0,19508.544151006237,38.49231087464566
2022-07-02T04:15:00+03:00,19175,19264,19175,19256.5,0,0,19508.83111041163,44.5534848200616
2022-07-02T04:30:00+03:00,19256.5,19292,19217.5,19242,0,0,19509.071932577586,43.72786392292747
2022-07-02T04:45:00+03:00,19242,19276,19211.5,19215.5,0,0,19496.353157379956,42.18913480461584
